Marker_name	Chromosome	Marker_position
A2991	chr19	45558256
A2992	chr19	49619649
A2993	chr19	45622994
A2994	chr19	50019831
A2995	chr19	49953154
A2996	chr19	45817953
A2997	chr19	7498681
A2998	chr19	45896249
A2999	chr19	7552048
A3000	chr19	45863635
A3001	chr19	2198362
A3002	chr19	2233852
A3003	chr19	49939137
A3004	chr19	12920923
A3005	chr19	45845735
A3006	chr19	49842510
A3007	chr19	2242599
A3008	chr19	2250690
A3009	chr19	49871706
A3010	chr19	13211911
A3011	chr19	2271486
A3012	chr19	13222048
A3013	chr19	13258034
A3014	chr19	7734632
A3015	chr19	7760338
A3016	chr19	46279392
A3017	chr19	7831263
A3018	chr19	46308772
A3019	chr19	50386343
A3020	chr19	50412853
A3021	chr19	2986310
A3022	chr19	13858342
A3023	chr19	50358996
A3024	chr19	3058006
A3025	chr19	46456898
A3026	chr19	2769040
A3027	chr19	55050481
A3028	chr19	55117162
A3029	chr19	50331806
A3030	chr19	55109301
A3031	chr19	7986668
A3032	chr19	13887129
A3033	chr19	8000204
A3034	chr19	46511457
A3035	chr19	14153151
A3036	chr19	14239044
A3037	chr19	55652442
A3038	chr19	50504463
A3039	chr19	16299524
A3040	chr19	55755755
A3041	chr19	16619642
A3042	chr19	16712795
A3043	chr19	10005811
A3044	chr19	15568908
A3045	chr19	15477402
A3046	chr19	15340988
A3047	chr19	15231195
A3048	chr19	58002563
A3049	chr19	15222006
A3050	chr19	15164649
A3051	chr19	15097324
A3052	chr19	57744646
A3053	chr19	30101534
A3054	chr19	30309010
A3055	chr19	30460581
A3056	chr19	33075166
A3057	chr19	33127708
A3058	chr19	39925217
A3059	chr19	39977737
A3060	chr19	40095640
A3061	chr19	40331076
A3062	chr19	40320415
A3063	chr19	40225279
A3064	chr19	40730356
A3065	chr19	34871723
A3066	chr19	40763833
A3067	chr19	40870354
A3068	chr19	40909474
A3069	chr19	4023514
A3070	chr19	41184736
A3071	chr19	4233511
A3072	chr19	4258081
A3073	chr19	4284659
A3074	chr19	36611020
A3075	chr19	4314218
A3076	chr19	36605430
A3077	chr19	36603358
A3078	chr19	36514903
A3079	chr19	3836526
A3080	chr19	47284995
A3081	chr19	47198958
A3082	chr19	3729459
A3083	chr19	36364747
A3084	chr19	3618726
A3085	chr19	47767223
A3086	chr19	41790952
A3087	chr19	3522299
A3088	chr19	47730052
A3089	chr19	41833654
A3090	chr8	142166642
A3091	chr19	41941922
A3092	chr19	42129393
A3093	chr19	4853066
A3094	chr19	50752622
A3095	chr19	10366649
A3096	chr19	51957905
A3097	chr19	42383314
A3098	chr19	51887188
A3099	chr19	10398420
A3100	chr19	42370491
A3101	chr19	48254547
A3102	chr19	51875414
A3103	chr19	10404055
A3104	chr19	51859047
A3105	chr19	51737717
A3106	chr19	42223111
A3107	chr19	48334645
A3108	chr19	17385108
A3109	chr19	10476280
A3110	chr19	48381688
A3111	chr19	10516303
A3112	chr19	48004695
A3113	chr19	42462187
A3114	chr19	42486191
A3115	chr19	47914580
A3116	chr19	5249660
A3117	chr19	42892805
A3118	chr19	5456146
A3119	chr19	42856341
A3120	chr19	48890318
A3121	chr19	48978930
A3122	chr19	48954654
A3123	chr19	48923160
A3124	chr19	48873642
A3125	chr19	51227780
A3126	chr19	48812432
A3127	chr19	48721615
A3128	chr19	48646281
A3129	chr19	52028944
A3130	chr19	52083771
A3131	chr19	48582587
A3132	chr19	52132466
A3133	chr19	48540260
A3134	chr19	52221806
A3135	chr19	11444834
A3136	chr19	49136991
A3137	chr19	11455323
A3138	chr19	5913803
A3139	chr19	49111089
A3140	chr19	49233911
A3141	chr19	368881
A3142	chr19	49260201
A3143	chr19	49306302
A3144	chr19	325186
A3145	chr19	49356121
A3146	chr19	52711989
A3147	chr19	12822416
A3148	chr19	12780527
A3149	chr19	54429892
A3150	chr19	13013430
A3151	chr19	54757713
A3152	chr19	12996616
A3153	chr19	12989153
A3154	chr19	12965265
A3155	chr19	54661259
A3156	chr19	54626988
A3157	chr19	54614687
A3158	chr19	17947234
A3159	chr19	17972823
A3160	chr19	17994382
A3161	chr19	18086495
A3162	chr19	18118426
A3163	chr19	18272639
A3164	chr19	18311239
A3165	chr19	18342500
A3166	chr19	18547154
A3167	chr19	18593205
A3168	chr19	18843745
A3169	chr19	36219350
A3170	chr19	18897853
A3171	chr19	36163541
A3172	chr19	19020264
A3173	chr19	19034960
A3174	chr19	36134210
A3175	chr19	36047752
A3176	chr19	19157473
A3177	chr19	36037462
A3178	chr19	36030266
A3179	chr19	2538447
A3180	chr19	35793867
A3181	chr19	18725044
A3182	chr19	35773832
A3183	chr19	35765302
A3184	chr19	35749050
A3185	chr19	18674384
A3186	chr19	18648724
A3187	chr19	19409240
A3188	chr19	35544442
A3189	chr19	19832593
A3190	chr19	35526470
A3191	chr19	19701123
A3192	chr19	42755516
A3193	chr19	42740557
A3194	chr19	19765254
A3195	chr19	42579165
A3196	chr19	42538061
A3197	chr19	38548440
A3198	chr19	21119765
A3199	chr19	44021133
A3200	chr19	44135255
A3201	chr19	44247221
A3202	chr7	32806777
A3203	chr7	87359237
A3204	chr7	89907432
A3205	chr7	89992653
A3206	chr7	102238648
A3207	chr7	92350071
A3208	chr7	102953913
A3209	chr7	102969120
A3210	chr7	93517506
A3211	chr7	93612884
A3212	chr7	105907751
A3213	chr7	19741897
A3214	chr7	106526656
A3215	chr7	95007468
A3216	chr7	95049342
A3217	chr7	20412851
A3218	chr7	106826190
A3219	chr7	107211417
A3220	chr7	21511046
A3221	chr7	134882453
A3222	chr7	21762145
A3223	chr7	107393127
A3224	chr7	96652056
A3225	chr7	135636805
A3226	chr7	22565803
A3227	chr7	136970349
A3228	chr7	24673349
A3229	chr7	24773608
A3230	chr7	138437672
A3231	chr7	138761365
A3232	chr7	138847611
A3233	chr7	44697418
A3234	chr7	25266147
A3235	chr7	966291
A3236	chr7	115687576
A3237	chr7	44877036
A3238	chr7	116038014
A3239	chr7	116183036
A3240	chr7	116375442
A3241	chr7	156451399
A3242	chr7	156573785
A3243	chr10	93976319
A3244	chr7	116940014
A3245	chr7	27134113
A3246	chr7	157169104
A3247	chr7	27141075
A3248	chr7	27169001
A3249	chr7	2560487
A3250	chr7	27181979
A3251	chr7	27187618
A3252	chr7	2586436
A3253	chr7	2626500
A3254	chr7	117868756
A3255	chr7	158879257
A3256	chr7	120462916
A3257	chr7	141462921
A3258	chr7	27236423
A3259	chr7	120783114
A3260	chr7	27286138
A3261	chr7	27633837
A3262	chr7	27831566
A3263	chr7	29134957
A3264	chr7	29357917
A3265	chr7	50759459
A3266	chr7	73151810
A3267	chr7	51234212
A3268	chr7	30058251
A3269	chr7	30118558
A3270	chr7	73123769
A3271	chr7	30491271
A3272	chr7	30653973
A3273	chr7	30715972
A3274	chr7	142560819
A3275	chr7	30871517
A3276	chr7	31005576
A3277	chr7	72421724
A3278	chr7	142995048
A3279	chr7	56171765
A3280	chr7	75446828
A3281	chr7	75932736
A3282	chr7	98252894
A3283	chr7	98998061
A3284	chr7	99011751
A3285	chr7	99039074
A3286	chr7	99261719
A3287	chr7	99626258
A3288	chr7	2407050
A3289	chr7	2342679
A3290	chr7	2286319
A3291	chr7	121607616
A3292	chr7	99711078
A3293	chr7	123355555
A3294	chr7	123493284
A3295	chr7	123588377
A3296	chr7	6056170
A3297	chr7	100229220
A3298	chr7	127236830
A3299	chr7	100211366
A3300	chr7	127253164
A3301	chr7	100202799
A3302	chr7	100190172
A3303	chr7	31737199
A3304	chr7	127960850
A3305	chr7	6172855
A3306	chr7	128041318
A3307	chr7	100151338
A3308	chr7	32529923
A3309	chr7	100776458
A3310	chr7	100801277
A3311	chr7	100841295
A3312	chr7	7242423
A3313	chr7	100855479
A3314	chr7	7717193
A3315	chr7	100864210
A3316	chr7	100878737
A3317	chr7	144100826
A3318	chr7	8071163
A3319	chr7	101264590
A3320	chr7	11111374
A3321	chr7	129324238
A3322	chr7	12266930
A3323	chr7	148542944
A3324	chr7	130057943
A3325	chr7	149550012
A3326	chr7	38005420
A3327	chr7	130136072
A3328	chr7	15688637
A3329	chr7	16662421
A3330	chr7	149980909
A3331	chr7	39275146
A3332	chr7	16808660
A3333	chr7	150037085
A3334	chr7	16852246
A3335	chr7	17362011
A3336	chr7	132618238
A3337	chr7	150386757
A3338	chr7	150493410
A3339	chr7	42139008
A3340	chr7	42964141
A3341	chr7	42980178
A3342	chr7	43708685
A3343	chr7	43822609
A3344	chr7	43940751
A3345	chr7	66404875
A3346	chr7	66777060
A3347	chr7	151190152
A3348	chr7	151413703
A3349	chr7	44149060
A3350	chr7	44159121
A3351	chr7	44179697
A3352	chr7	44210820
A3353	chr7	72961509
A3354	chr7	44247230
A3355	chr7	72988191
A3356	chr7	151685241
A3357	chr7	73762039
A3358	chr7	73600003
A3359	chr7	73517059
A3360	chr9	4610030
A3361	chr9	4538956
A3362	chr9	126779764
A3363	chr9	108361905
A3364	chr9	108262395
A3365	chr9	39180538
A3366	chr9	91048471
A3367	chr9	77689311
A3368	chr9	111829828
A3369	chr9	79373647
A3370	chr9	123419919
A3371	chr9	100856525
A3372	chr9	100919089
A3373	chr9	101891397
A3374	chr9	101988621
A3375	chr9	123763585
A3376	chr9	95156613
A3377	chr9	95231637
A3378	chr9	95277651
A3379	chr9	82264173
A3380	chr9	124978380
A3381	chr9	114337068
A3382	chr9	114870376
A3383	chr9	116831579
A3384	chr9	117126560
A3385	chr9	117674350
A3386	chr9	130991592
A3387	chr9	130597163
A3388	chr9	130634390
A3389	chr9	4693978
A3390	chr9	5302418
A3391	chr9	5337421
A3392	chr9	5397925
A3393	chr9	131561097
A3394	chr9	5702791
A3395	chr9	6948255
A3396	chr9	340056
A3397	chr9	608198
A3398	chr9	23758218
A3399	chr9	132967220
A3400	chr9	35607702
A3401	chr9	138639511
A3402	chr9	35677504
A3403	chr9	133484045
A3404	chr9	12697864
A3405	chr9	35734666
A3406	chr9	35753887
A3407	chr9	13192646
A3408	chr9	139092525
A3409	chr9	32490811
A3410	chr9	139758654
A3411	chr9	71472333
A3412	chr9	4086259
A3413	chr9	33256289
A3414	chr9	134533809
A3415	chr9	139937288
A3416	chr9	72164834
A3417	chr9	135183557
A3418	chr9	17688103
A3419	chr9	139875921
A3420	chr9	139912526
A3421	chr9	37994170
A3422	chr9	33868983
A3423	chr9	74501607
A3424	chr9	37784204
A3425	chr9	74973252
A3426	chr1	1277693
A3427	chr10	97024055
A3428	chr10	97811889
A3429	chr10	98081203
A3430	chr10	8106364
A3431	chr10	117280813
A3432	chr10	100191319
A3433	chr10	13332104
A3434	chr10	45473097
A3435	chr10	101702505
A3436	chr10	119785270
A3437	chr10	44837489
A3438	chr10	101928971
A3439	chr10	120817336
A3440	chr10	102069073
A3441	chr10	17018896
A3442	chr10	17214153
A3443	chr10	48386239
A3444	chr10	48432395
A3445	chr10	70683818
A3446	chr10	49581050
A3447	chr10	121677118
A3448	chr10	123594127
A3449	chr10	123725667
A3450	chr10	124163039
A3451	chr10	72283391
A3452	chr10	73017474
A3453	chr10	73366196
A3454	chr10	73520285
A3455	chr10	73833791
A3456	chr10	74256498
A3457	chr10	75225984
A3458	chr10	86183307
A3459	chr10	88604501
A3460	chr10	89288924
A3461	chr10	90722989
A3462	chr10	91073820
A3463	chr10	102893401
A3464	chr10	102750641
A3465	chr10	102761984
A3466	chr10	102795994
A3467	chr10	102824743
A3468	chr10	103412737
A3469	chr10	103532876
A3470	chr10	103542126
A3471	chr10	93591551
A3472	chr10	103995587
A3473	chr10	104073972
A3474	chr10	24942567
A3475	chr10	93928646
A3476	chr10	104180919
A3477	chr10	104187710
A3478	chr10	104328518
A3479	chr10	27335132
A3480	chr10	27507602
A3481	chr10	126228430
A3482	chr10	916524
A3483	chr10	1050107
A3484	chr10	127430398
A3485	chr10	127527189
A3486	chr10	30631053
A3487	chr10	105303022
A3488	chr10	105481793
A3489	chr10	3197461
A3490	chr10	105660131
A3491	chr10	30736814
A3492	chr10	54075929
A3493	chr10	131697826
A3494	chr10	131958724
A3495	chr10	108628856
A3496	chr10	5766252
A3497	chr10	111653917
A3498	chr10	112345921
A3499	chr10	112726363
A3500	chr10	60151881
A3501	chr10	61607467
A3502	chr10	35338524
A3503	chr10	35698402
A3504	chr19	55915898
A3505	chr19	55905662
A3506	chr10	80952534
A3507	chr10	69577175
A3508	chr10	81111159
A3509	chr10	70067611
A3510	chr10	82253400
A3511	chr10	95537741
A3512	chr10	96228974
A3513	chr10	96469599
A3514	chr17	39086417
A3515	chr17	27577696
A3516	chr17	27601995
A3517	chr17	27910779
A3518	chr17	35803400
A3519	chr17	35360173
A3520	chr17	34952731
A3521	chr17	34848813
A3522	chr17	36873925
A3523	chr17	36914736
A3524	chr17	36969210
A3525	chr17	37358758
A3526	chr17	37487080
A3527	chr17	42390910
A3528	chr17	42290697
A3529	chr17	38172840
A3530	chr17	38145631
A3531	chr17	38312503
A3532	chr17	38342585
A3533	chr17	63178685
A3534	chr17	56462408
A3535	chr17	44875196
A3536	chr17	3391190
A3537	chr17	56790818
A3538	chr17	56607895
A3539	chr17	56581082
A3540	chr17	57122140
A3541	chr17	3809840
A3542	chr17	57664296
A3543	chr17	39578890
A3544	chr17	57953577
A3545	chr17	45744856
A3546	chr17	45052743
A3547	chr17	46022263
A3548	chr2	74855762
A3549	chr17	57999186
A3550	chr17	18620371
A3551	chr17	15578873
A3552	chr17	46052158
A3553	chr17	46163148
A3554	chr17	73643097
A3555	chr17	16186310
A3556	chr17	73754733
A3557	chr17	59974054
A3558	chr17	4881123
A3559	chr17	60081304
A3560	chr17	46676996
A3561	chr17	4855906
A3562	chr17	4850651
A3563	chr17	4845910
A3564	chr17	4841985
A3565	chr17	17398730
A3566	chr17	4803719
A3567	chr17	17649777
A3568	chr17	5293869
A3569	chr17	5344123
A3570	chr17	28542178
A3571	chr17	28597146
A3572	chr17	28751465
A3573	chr17	28829495
A3574	chr17	61838160
A3575	chr17	6550794
A3576	chr17	18001242
A3577	chr17	61902082
A3578	chr17	19844635
A3579	chr17	19646776
A3580	chr17	61914934
A3581	chr17	62088974
A3582	chr17	76167123
A3583	chr17	19261181
A3584	chr17	30208353
A3585	chr17	62500025
A3586	chr17	30664313
A3587	chr17	76724254
A3588	chr17	30790807
A3589	chr17	76971755
A3590	chr17	31921044
A3591	chr17	32598250
A3592	chr17	32583263
A3593	chr17	32647238
A3594	chr17	32688798
A3595	chr17	33903848
A3596	chr17	36075836
A3597	chr17	39619872
A3598	chr17	40259086
A3599	chr17	40269251
A3600	chr17	40292014
A3601	chr17	40692328
A3602	chr17	40699753
A3603	chr17	40704231
A3604	chr17	40722171
A3605	chr17	40843231
A3606	chr17	47294088
A3607	chr17	40874682
A3608	chr17	48049327
A3609	chr17	48219547
A3610	chr17	48269821
A3611	chr17	48247433
A3612	chr17	41117544
A3613	chr17	48447896
A3614	chr17	41171881
A3615	chr17	48463667
A3616	chr17	41180657
A3617	chr17	6906719
A3618	chr17	42177592
A3619	chr17	48740875
A3620	chr17	48815239
A3621	chr17	42019004
A3622	chr17	41969896
A3623	chr17	62598299
A3624	chr17	41849922
A3625	chr17	65046807
A3626	chr17	42952170
A3627	chr17	53372399
A3628	chr17	66275287
A3629	chr17	66527690
A3630	chr17	7611608
A3631	chr17	66564392
A3632	chr17	1275619
A3633	chr17	53484663
A3634	chr17	8192612
A3635	chr17	1940064
A3636	chr17	67475155
A3637	chr17	21061627
A3638	chr17	25630879
A3639	chr17	9804287
A3640	chr17	10408742
A3641	chr17	72755141
A3642	chr17	10546234
A3643	chr17	72769596
A3644	chr17	72804270
A3645	chr17	26695700
A3646	chr17	26668331
A3647	chr17	26658933
A3648	chr17	26650914
A3649	chr17	72992811
A3650	chr17	15150869
A3651	chr17	26849587
A3652	chr17	26876705
A3653	chr17	26902207
A3654	chr17	27009403
A3655	chr17	27043373
A3656	chr17	27255528
A3657	chr4	41748543
A3658	chr4	41949863
A3659	chr4	46958670
A3660	chr4	68612562
A3661	chr4	48385784
A3662	chr4	48835531
A3663	chr4	69689312
A3664	chr4	49026181
A3665	chr4	52746084
A3666	chr4	53491320
A3667	chr4	70701184
A3668	chr4	71066253
A3669	chr4	71229676
A3670	chr4	54903406
A3671	chr4	56482130
A3672	chr4	57115576
A3673	chr4	100807570
A3674	chr4	74719389
A3675	chr4	103480472
A3676	chr4	75315788
A3677	chr4	103617405
A3678	chr4	103752796
A3679	chr4	87225780
A3680	chr4	140023819
A3681	chr4	140205869
A3682	chr4	141485273
A3683	chr4	141609596
A3684	chr4	142148946
A3685	chr4	143356449
A3686	chr4	144326818
A3687	chr4	166186539
A3688	chr4	123375252
A3689	chr4	166350909
A3690	chr4	109546645
A3691	chr4	6288284
A3692	chr4	169061253
A3693	chr4	7065278
A3694	chr4	110741279
A3695	chr4	190873151
A3696	chr4	170589304
A3697	chr4	170997111
A3698	chr4	174167511
A3699	chr4	24552618
A3700	chr4	24796999
A3701	chr4	25141915
A3702	chr4	8607937
A3703	chr4	154166983
A3704	chr4	9914668
A3705	chr4	153349831
A3706	chr4	178257543
A3707	chr4	26667516
A3708	chr4	10587254
A3709	chr4	1928542
A3710	chr4	152135343
A3711	chr4	26943151
A3712	chr4	13544564
A3713	chr4	2934437
A3714	chr4	158045225
A3715	chr4	15722254
A3716	chr4	160153325
A3717	chr4	3447412
A3718	chr4	186208365
A3719	chr4	186301042
A3720	chr4	186333916
A3721	chr4	38684240
A3722	chr4	39087568
A3723	chr4	187059697
A3724	chr4	17829505
A3725	chr4	39515153
A3726	chr4	23831188
A3727	chr11	125783214
A3728	chr11	111786867
A3729	chr11	20179930
A3730	chr11	20395280
A3731	chr11	88048857
A3732	chr11	27368894
A3733	chr11	114025856
A3734	chr11	31668421
A3735	chr11	116653601
A3736	chr11	47651521
A3737	chr11	47763533
A3738	chr11	121017042
A3739	chr11	121171282
A3740	chr11	122726277
A3741	chr11	122791948
A3742	chr11	134265105
A3743	chr11	122931067
A3744	chr11	57121960
A3745	chr11	124002248
A3746	chr11	63999754
A3747	chr11	124534306
A3748	chr11	64801462
A3749	chr11	58320018
A3750	chr11	58957481
A3751	chr11	64673364
A3752	chr11	64637441
A3753	chr11	59362744
A3754	chr11	67765513
A3755	chr11	125768248
A3756	chr11	126194645
A3757	chr11	67951812
A3758	chr11	126143488
A3759	chr11	68305494
A3760	chr11	64432153
A3761	chr11	59945610
A3762	chr11	60062229
A3763	chr11	126267887
A3764	chr11	68566983
A3765	chr11	69462548
A3766	chr11	60614049
A3767	chr11	60666131
A3768	chr11	60686130
A3769	chr11	6287161
A3770	chr11	6458063
A3771	chr11	6482766
A3772	chr11	89945430
A3773	chr11	71903973
A3774	chr11	71820625
A3775	chr11	71838425
A3776	chr11	93888616
A3777	chr11	73049735
A3778	chr11	116661609
A3779	chr11	116692720
A3780	chr11	116702105
A3781	chr11	117234628
A3782	chr11	10548001
A3783	chr11	101828767
A3784	chr11	10824627
A3785	chr11	117864629
A3786	chr11	11467987
A3787	chr11	102233671
A3788	chr11	118250113
A3789	chr11	102739615
A3790	chr11	118640946
A3791	chr11	118812571
A3792	chr11	119127805
A3793	chr11	119546957
A3794	chr11	33328393
A3795	chr11	33629633
A3796	chr11	33779287
A3797	chr11	34989757
A3798	chr11	35357181
A3799	chr11	36303025
A3800	chr11	60712279
A3801	chr11	60882595
A3802	chr11	44096623
A3803	chr11	62039127
A3804	chr11	46403840
A3805	chr11	46516819
A3806	chr11	47321147
A3807	chr11	47590997
A3808	chr11	63715615
A3809	chr11	3050497
A3810	chr11	2933713
A3811	chr11	2408028
A3812	chr11	107730368
A3813	chr11	2320577
A3814	chr11	107499661
A3815	chr11	14991057
A3816	chr11	16374566
A3817	chr11	16706553
A3818	chr11	67266486
A3819	chr11	17097635
A3820	chr11	67254543
A3821	chr11	3755667
A3822	chr11	67801097
A3823	chr11	67812422
A3824	chr11	67854618
A3825	chr11	108420311
A3826	chr11	18321984
A3827	chr11	18366216
A3828	chr11	111274666
A3829	chr11	18781871
A3830	chr12	6145988
A3831	chr12	122341420
A3832	chr12	6943295
A3833	chr12	27762430
A3834	chr12	50000225
A3835	chr12	9909289
A3836	chr12	108140846
A3837	chr12	10014159
A3838	chr12	120956657
A3839	chr12	109021710
A3840	chr12	109082128
A3841	chr12	50464362
A3842	chr12	109273763
A3843	chr12	30885185
A3844	chr12	31114448
A3845	chr12	109900905
A3846	chr12	51397766
A3847	chr12	121132169
A3848	chr12	110023063
A3849	chr12	51466218
A3850	chr12	121705804
A3851	chr12	51696637
A3852	chr12	56733428
A3853	chr12	57035878
A3854	chr12	57069643
A3855	chr12	33559963
A3856	chr12	122478638
A3857	chr12	123000368
A3858	chr12	58159443
A3859	chr12	81102265
A3860	chr12	81112071
A3861	chr12	81259001
A3862	chr12	53344670
A3863	chr12	81491063
A3864	chr12	53449454
A3865	chr12	57859981
A3866	chr12	63183289
A3867	chr12	95888455
A3868	chr12	96415952
A3869	chr12	96625886
A3870	chr12	311489
A3871	chr12	1697733
A3872	chr12	10762417
A3873	chr12	110246051
A3874	chr12	2945372
A3875	chr12	2976526
A3876	chr12	11150885
A3877	chr12	3596827
A3878	chr12	3941410
A3879	chr12	110880428
A3880	chr12	110898681
A3881	chr12	110934412
A3882	chr12	4546050
A3883	chr12	111353574
A3884	chr12	4658582
A3885	chr12	111630093
A3886	chr12	111866589
A3887	chr12	4741443
A3888	chr12	12492836
A3889	chr12	5029799
A3890	chr12	12672073
A3891	chr12	12781401
A3892	chr12	112159380
A3893	chr12	112226236
A3894	chr12	12871648
A3895	chr12	13099395
A3896	chr12	112505663
A3897	chr12	13246556
A3898	chr12	6471452
A3899	chr12	6492472
A3900	chr12	123461858
A3901	chr12	123751204
A3902	chr12	113393605
A3903	chr12	113432864
A3904	chr12	14987466
A3905	chr12	15036487
A3906	chr12	113555334
A3907	chr12	15104806
A3908	chr12	124132764
A3909	chr12	124111633
A3910	chr12	124096056
A3911	chr12	46620323
A3912	chr12	18353422
A3913	chr12	48111433
A3914	chr12	117164734
A3915	chr12	48286075
A3916	chr12	130648644
A3917	chr12	118461164
A3918	chr12	131298978
A3919	chr12	131532233
A3920	chr12	54720309
A3921	chr12	65224700
A3922	chr12	67688396
A3923	chr12	68607366
A3924	chr12	68551037
A3925	chr12	56378093
A3926	chr12	68696192
A3927	chr12	69108649
A3928	chr12	70692773
A3929	chr12	56827045
A3930	chr12	69650727
A3931	chr12	75898050
A3932	chr12	6602078
A3933	chr12	6645315
A3934	chr12	6671943
A3935	chr12	6697945
A3936	chr12	6751933
A3937	chr12	100479429
A3938	chr12	6836974
A3939	chr12	6765880
A3940	chr12	6952837
A3941	chr12	6957593
A3942	chr12	102114321
A3943	chr12	6968544
A3944	chr12	6978197
A3945	chr12	102181995
A3946	chr12	6989310
A3947	chr12	7027885
A3948	chr12	7042555
A3949	chr12	7053653
A3950	chr12	7063055
A3951	chr12	7105581
A3952	chr12	104199603
A3953	chr12	21103338
A3954	chr12	7810247
A3955	chr12	7944522
A3956	chr12	118835012
A3957	chr12	21663028
A3958	chr12	21723452
A3959	chr12	21849533
A3960	chr12	120112496
A3961	chr12	22208858
A3962	chr12	104478437
A3963	chr12	22403341
A3964	chr12	8283715
A3965	chr12	22649498
A3966	chr12	8760114
A3967	chr12	120544102
A3968	chr12	9080277
A3969	chr12	120877219
A3970	chr12	107066633
A3971	chr12	107225731
A3972	chr12	120903533
A3973	chr12	27105449
A3974	chr12	9753814
A3975	chr6	75854904
A3976	chr6	26447171
A3977	chr6	24658733
A3978	chr6	116317116
A3979	chr6	116668880
A3980	chr6	116905684
A3981	chr6	116945895
A3982	chr6	10800860
A3983	chr6	10727255
A3984	chr6	10702471
A3985	chr6	10561028
A3986	chr6	88042172
A3987	chr6	11283056
A3988	chr6	118906586
A3989	chr6	11759783
A3990	chr6	119222858
A3991	chr6	119195466
A3992	chr6	119375740
A3993	chr6	89496666
A3994	chr6	119584650
A3995	chr6	89995972
A3996	chr6	122778733
A3997	chr6	125582195
A3998	chr6	125512874
A3999	chr6	126289657
A4000	chr6	126177286
A4001	chr6	24919919
A4002	chr6	148733313
A4003	chr6	149233295
A4004	chr6	150289994
A4005	chr6	153298189
A4006	chr6	153316158
A4007	chr6	35353151
A4008	chr6	154449816
A4009	chr6	35427509
A4010	chr6	35473183
A4011	chr6	35951968
A4012	chr6	36037250
A4013	chr6	49588711
A4014	chr6	36434732
A4015	chr6	36488458
A4016	chr6	36567761
A4017	chr6	160136825
A4018	chr6	160215156
A4019	chr6	52053310
A4020	chr6	52105407
A4021	chr6	52139243
A4022	chr6	37342131
A4023	chr6	13003269
A4024	chr6	37633683
A4025	chr6	52896338
A4026	chr6	52941230
A4027	chr6	14127510
A4028	chr6	90440830
A4029	chr6	39036046
A4030	chr6	39077402
A4031	chr6	55679402
A4032	chr6	90821437
A4033	chr6	17287841
A4034	chr6	17475735
A4035	chr6	41163473
A4036	chr6	56993373
A4037	chr6	57045877
A4038	chr6	57070342
A4039	chr6	41011184
A4040	chr6	97037468
A4041	chr6	97263677
A4042	chr6	62692998
A4043	chr6	99356134
A4044	chr6	100003552
A4045	chr6	100059030
A4046	chr6	20448169
A4047	chr6	64262579
A4048	chr6	100872848
A4049	chr6	101142659
A4050	chr6	22570785
A4051	chr6	105564873
A4052	chr6	70968775
A4053	chr6	131922237
A4054	chr6	110461114
A4055	chr6	24460113
A4056	chr6	24516257
A4057	chr6	106989028
A4058	chr6	133018958
A4059	chr6	133074803
A4060	chr6	24686278
A4061	chr6	71474598
A4062	chr6	133137141
A4063	chr6	24713076
A4064	chr6	71616561
A4065	chr6	24780743
A4066	chr6	133707497
A4067	chr6	107896259
A4068	chr6	108498637
A4069	chr6	108557445
A4070	chr6	25921964
A4071	chr6	135352855
A4072	chr6	25975207
A4073	chr6	137189396
A4074	chr6	109794118
A4075	chr6	110079565
A4076	chr6	138419145
A4077	chr6	138574429
A4078	chr6	111480589
A4079	chr6	139479094
A4080	chr6	142695197
A4081	chr6	144005152
A4082	chr6	145939939
A4083	chr6	29342134
A4084	chr6	33170219
A4085	chr6	167539239
A4086	chr6	167707082
A4087	chr6	160645381
A4088	chr6	33381203
A4089	chr6	33385156
A4090	chr6	163442344
A4091	chr6	163917330
A4092	chr6	165708124
A4093	chr6	166070433
A4094	chr6	41613302
A4095	chr6	41677856
A4096	chr6	168957907
A4097	chr6	41960383
A4098	chr6	41894855
A4099	chr6	170657972
A4100	chr6	170872674
A4101	chr6	42157396
A4102	chr6	42677326
A4103	chr6	42793031
A4104	chr6	42966158
A4105	chr6	43024655
A4106	chr6	43086731
A4107	chr6	43144140
A4108	chr6	43171119
A4109	chr6	43195294
A4110	chr6	321492
A4111	chr6	589125
A4112	chr6	75953715
A4113	chr6	75978662
A4114	chr6	1934983
A4115	chr6	76369611
A4116	chr6	76706613
A4117	chr6	43746072
A4118	chr6	4043359
A4119	chr6	80732924
A4120	chr6	44194565
A4121	chr6	112383723
A4122	chr6	26467499
A4123	chr6	112503052
A4124	chr6	82331823
A4125	chr6	45958088
A4126	chr12	133113955
A4127	chr6	46132816
A4128	chr6	6621778
A4129	chr6	27219941
A4130	chr6	46784321
A4131	chr6	85435653
A4132	chr5	65300340
A4133	chr5	140475594
A4134	chr5	140074950
A4135	chr5	102891525
A4136	chr5	639835
A4137	chr5	109115196
A4138	chr5	9290662
A4139	chr5	40946197
A4140	chr5	6735939
A4141	chr5	42572929
A4142	chr5	43301555
A4143	chr5	10720363
A4144	chr5	137462999
A4145	chr5	137495065
A4146	chr5	137518906
A4147	chr5	43655150
A4148	chr5	44814778
A4149	chr5	137900852
A4150	chr5	71565854
A4151	chr5	139653665
A4152	chr5	139719322
A4153	chr5	139747257
A4154	chr5	121406435
A4155	chr5	54325239
A4156	chr5	27000983
